IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
92.119.90.67,92.119.90.67,2053,3.42,DE,FRA,88.38,109.17
135.125.190.99,135.125.190.99,8443,3.41,DE,FRA,90.57,108.82
144.31.73.186,144.31.73.186,443,3.4,DE,FRA,102.13,142.25
51.89.22.80,51.89.22.80,2053,3.4,DE,FRA,111.3,120.75
103.13.211.113,103.13.211.113,2053,3.4,DE,FRA,93.55,105.6
94.159.104.23,2a0b:4142:790::2,443,3.4,DE,FRA,96.01,108.17
165.227.146.168,2a03:b0c0:3:f0:0:1:519:7000,443,3.38,DE,FRA,92.23,96.16
185.221.198.253,185.221.198.253,2053,3.38,DE,FRA,89.28,101.85
152.53.245.45,152.53.245.45,443,3.38,DE,FRA,94.4,106.8
152.53.225.145,152.53.225.145,8443,3.38,DE,FRA,98.16,105.86
144.31.254.202,2a01:ecc0:40:1ae8::2,8443,3.37,DE,FRA,95.74,102.86
94.159.108.9,2a0b:4142:aff::2,443,3.37,DE,FRA,97.85,106.24
188.68.35.111,188.68.35.111,8443,3.37,DE,FRA,99.04,110.34
77.90.33.189,77.90.33.189,443,3.36,DE,FRA,92.89,120.57
57.129.47.67,2001:41d0:701:1100::a1fe,8443,3.35,DE,FRA,91.92,105.79
87.251.77.196,87.251.77.196,2053,3.35,DE,FRA,90.83,117.98
2.59.135.223,2.59.135.223,8443,3.34,DE,FRA,88.99,96.77
91.99.227.218,91.99.227.218,443,3.33,DE,FRA,91.0,148.77
156.226.174.20,156.226.174.20,443,3.31,DE,FRA,87.86,101.16
87.251.77.196,87.251.77.196,8443,3.29,DE,FRA,98.83,103.85
116.203.58.165,116.203.58.165,443,3.28,DE,FRA,94.39,103.13
57.129.47.52,57.129.47.52,443,3.28,DE,FRA,97.28,98.82
5.252.22.46,5.252.22.46,443,3.28,DE,FRA,89.15,97.7
45.12.254.163,45.12.254.163,2053,3.27,DE,FRA,98.29,116.82
5.75.159.159,2a01:4f8:c0c:2cf7::1,8443,3.27,DE,FRA,90.42,105.35
57.129.47.52,57.129.47.52,8443,3.26,DE,FRA,93.64,98.6
79.132.138.87,2a02:6b40:2000:149a::1,443,3.25,DE,FRA,90.79,93.94
213.176.78.41,2a0b:4141:820:18fa::2,443,3.22,DE,FRA,103.49,137.54
57.129.47.67,2001:41d0:701:1100::a1fe,2053,3.21,DE,FRA,90.57,103.25
37.120.165.33,37.120.165.33,443,3.21,DE,FRA,101.66,109.91
85.234.69.240,85.234.69.240,443,3.19,DE,FRA,96.1,96.14
84.200.77.75,84.200.77.75,443,3.17,DE,FRA,88.65,93.79
178.250.191.208,178.250.191.208,443,3.13,DE,FRA,91.98,98.59
91.99.5.218,2a01:4f8:c014:a7a1::1,8443,3.13,DE,FRA,96.77,121.06
109.120.135.91,109.120.135.91,8443,3.12,DE,FRA,125.69,194.72
62.60.153.148,62.60.153.148,443,3.12,DE,FRA,114.47,160.22
88.198.82.148,178.63.88.12,443,3.12,DE,FRA,93.15,112.05
152.53.224.193,152.53.224.193,443,3.12,DE,FRA,94.39,108.3
45.43.88.178,45.43.88.178,443,3.11,DE,FRA,89.04,109.68
94.156.179.217,94.156.179.217,2053,3.1,DE,FRA,87.69,94.61
152.53.14.60,152.53.14.60,8443,3.1,DE,FRA,94.07,104.22
94.16.113.166,94.16.113.166,443,3.1,DE,FRA,103.12,108.25
77.110.100.122,77.110.100.122,443,3.1,DE,FRA,89.22,93.45
49.13.137.20,2a01:4f8:c013:df2b::1,2096,3.09,DE,FRA,92.71,114.29
